ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.4531822141142372,,0.019498007866772266,0.0642232295923256,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.23405942320861697,,0.11910672016611044,0.0889279018999949,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.339231871414889,,0.039306497595491895,0.0693160530893429,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.5605479060905738,,0.0014150829205507053,0.021108869846792274,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.33017293090533495,,0.010393187906109819,0.03392515262656829,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.4166259363962828,,0.014124558795178304,0.050046384089404664,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.059765729746978837,,0.5451640722216224,0.08274715836664313,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.3843515259801303,,0.0003586199441790804,0.00728052442879417,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.5562400534970614,,0.0026552405096074315,0.028719733136561256,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.1956037418046529,,0.08738798151212347,0.06196055097457323,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.5097141395441491,,0.0041584893704639594,0.03297253069921813,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.42654416400509826,,0.02331100110493882,0.0662891340200043,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.0828137248797431,,0.013675622827000695,0.009785120945328912,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.131788218005819,,0.32383431438374044,0.10153794424198272,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.3168275123189008,,0.006710830081550379,0.02608587831744245,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.18639235355471598,,0.012535598436495548,0.021067541653599073,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.03960372587699477,,0.5012020988301826,0.04866025821812167,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_114e94f5,0.5552384749958478,,0.001198938482839313,0.01924282345647511,,
