ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.4462045054440431,,0.02983580411244166,0.0788485652466104,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.2150557300142795,,0.1638324934480277,0.09974678422543665,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.33303482328618994,,0.06250580090217579,0.08741509378406233,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.56082841562658,,0.0011798518929047592,0.019280945361676,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.31011078751829113,,0.017371416271641925,0.04141434319648854,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.41581974533092186,,0.021688677486574996,0.062255379388709814,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.058651487275280745,,0.5670174748137369,0.08634005709805252,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.37644232863973076,,0.0005226264113834464,0.008609231978968946,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.5552069199436094,,0.004119474934649767,0.035745455497922775,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.1752853346932736,,0.09497087857273101,0.058252432837790684,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.49105521414202413,,0.007416931254393262,0.042527397928728596,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.4244450158506307,,0.031225697437346742,0.07681355580845724,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.06577009436415492,,0.17663112476799417,0.03205456643530427,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.12468250586022923,,0.3558670664096524,0.10469534761525633,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.3075468204728684,,0.008712064043530308,0.02889508549591367,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.1669404094904401,,0.018262690297200276,0.022874762864020272,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.01618493880304667,,0.8263824147328152,0.06491666340031776,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.5499123850599607,,0.0010431726669563864,0.01777508108545085,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.4060424592111807,,0.013484172214918006,0.04763328728136262,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.07206650099494405,,0.39823268937434164,0.06763290050052136,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.23483088608645464,,0.13075300804552278,0.09444005083188768,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.3506087471922892,,0.03812498021883841,0.07049033673420213,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.4994546227365004,,0.026315851617919665,0.08266287018436852,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.1156836887838427,,0.09350295024839823,0.03809969170433436,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.08158485407687048,,0.48768456287844053,0.09670474809620692,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.22248284627576587,,0.0012940588485154158,0.008011159264132189,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.07707806174943507,,0.27587096943946077,0.051908408198690206,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.13835619849273237,,0.39938666541054113,0.13023528014151442,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.316076658102775,,0.016633155175994008,0.04128104756775081,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.15713393953160468,,0.3436476761179488,0.12771768566307076,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.4773186880648855,,0.02826907929890876,0.0820024963887084,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.5580508093992379,,0.00551836931044534,0.04162769656729035,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.12837893273701648,,0.024185821928211056,0.02033598034398377,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.4858597354078893,,0.009985954474020288,0.04891898271247366,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_c523a90a,0.03252831070579631,,0.43513446598042527,0.033600960339613545,,
