ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.41816942610594876,,0.021934591761846,0.06297301426885021,,
OPA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.21213024813850367,,0.15268621578134794,0.09401855708291822,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.2876904123633987,,0.10754270365660619,0.10283156984342968,,
V3v_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.5348457330019311,,0.0016661673917418272,0.021859039974779795,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.30247613971369375,,0.02377683444155018,0.04749217119509809,,
V2v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.3919593397210668,,0.011401821538309221,0.04221500566132226,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.0687366450866308,,0.517917039062318,0.0883319683891056,,
hV4_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.36240281599014884,,0.0006292700577254403,0.009095260429944485,,
V1d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.5357269688125853,,0.0028912473280836523,0.02886884860237725,,
OPA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.18492821281410318,,0.12974195314631293,0.07401693697386298,,
V1v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.4877555750114822,,0.0026461550305809543,0.025140454525614867,,
V3d_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.4356077089118031,,0.020475412220686794,0.06330849570202787,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.13157833509864514,,0.0023511062834070274,0.006391273084061905,,
PPA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.13916566387385307,,0.32863771792583574,0.10863109596442759,,
OFA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.30671675089979544,,0.012651232686381382,0.03483015246390344,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.17842226024140947,,0.01569014856804974,0.022616243912457246,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.01970560343493868,,0.7624969426252537,0.056989878319010645,,
V2v_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.5300304084529467,,0.00048223577757997493,0.011643609150779392,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.3766943464892269,,0.01434540805545833,0.04560974669282754,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.07074806636706722,,0.3561021336616208,0.05944389994922833,,
PPA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.22983873243159011,,0.1514375815100934,0.10133473095203745,,
V2d_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.35265234981203214,,0.02558911113635866,0.05752227111527356,,
V3d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.5007498732409067,,0.013812476047737152,0.059469219666864206,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.1357539276739218,,0.020353604827718183,0.01966901184499685,,
RSC_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_dd4f8b1a,0.07345192807331456,,0.5027066514491161,0.09061212499705892,,
