ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.3997295502686975,,0.023712025056084402,0.06267332757062605,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.21681642925038067,,0.1032427480865228,0.07565505425659448,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.29983349846234963,,0.0687178062117192,0.08293567170343417,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.5119736358717188,,0.006657577424940632,0.041983890836268224,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.29339558911435387,,0.01922737377704414,0.04128074665161369,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.3757035499421144,,0.015149013526095613,0.046775227340669474,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.09251953907583775,,0.3992478810423893,0.08705756263214144,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.34927568829328126,,0.003244882228201247,0.01994466553192588,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.5188434517427967,,0.00530652800859058,0.03794682006267795,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.17058222979725388,,0.1494660197183896,0.07458420878537947,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.47263148264106797,,0.006295569203261668,0.037678908306803004,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.4268550151555779,,0.024018862554853564,0.06737388361911682,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.10584373702429806,,0.08112807200103854,0.032136883300634356,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.12628984998425238,,0.36002429190222773,0.10721969562441619,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.2999830323495661,,0.013569848048921166,0.03530526664769389,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.16892156802840985,,0.013606230168128095,0.019907712704988853,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.037079634572930585,,0.44085984120850985,0.03887698804202127,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.508254787012382,,0.0013212795240067445,0.018493092009616175,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.379586419832727,,0.016600206874849286,0.04952533685619299,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.08298130474472926,,0.228256524142586,0.048350872504726465,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.23171270966261218,,0.1377337739204937,0.0962353410191905,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_56191843,0.3326294491031132,,0.045850607598113886,0.07378715220395171,,
