ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.42725730055776245,,0.02588020684862156,0.07010237788683062,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.2053995477679397,,0.14238887026633545,0.08709826443414974,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.3031551177643934,,0.07223707416081906,0.08622233466775386,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.5350541436214161,,0.0021174495624190926,0.024660099212900594,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.3132210307882866,,0.011223016197312814,0.03346458206246808,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.3972826455285781,,0.01317666540112089,0.04606038576999892,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.062369758353305216,,0.5193873502984547,0.08046931014407963,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.36482664767497236,,0.00046714597124909057,0.007887966492924095,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.5373248866271928,,0.0035462239180743776,0.032083187372246066,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.17204349796479926,,0.13259774540125394,0.06978944245097912,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.48946893388858514,,0.00408373360538844,0.031375248189125175,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.4363983858144636,,0.02381149238075361,0.06857122998571533,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.11441721128392762,,0.008430011581276107,0.010572187556411186,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_0a923196_center_crop,0.11775097300559227,,0.40588851435163886,0.11273124015194598,,
