ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.4381456969656689,,0.025620097352974824,0.07151233915426665,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.22865948203663358,,0.11572386821500562,0.08538273444028445,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.30991268315329823,,0.055474060112307114,0.07620128754367335,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.5476471443993104,,0.001405169372895603,0.02055053978563902,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.33142132963495546,,0.007853476063954513,0.02954481286687649,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.41326752714230025,,0.011517422345640878,0.044738951944239276,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.0588097844030614,,0.5869050140987893,0.09167570395035687,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.37366394523317226,,0.00025130715750187123,0.005924688094579087,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.5507489361722643,,0.00414223568843486,0.03555687232935904,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.18094484778600606,,0.11683347093472844,0.06795425022663427,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.502231759159209,,0.0044124770964988,0.03347236135041484,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.44246870246063047,,0.02354885270341885,0.06912656196300516,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.10318128218899925,,0.03185906883506314,0.0188708723410382,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.14218265039951913,,0.3054318537184091,0.10413660831746434,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.32155831068765695,,0.003868284612863833,0.020057729983642806,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.16750846673453942,,0.008146603495866305,0.01521217299319726,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.007491542709592548,,0.8984231239224922,0.05188111197106056,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.5397793311200336,,0.0007233934510212386,0.014525773267774668,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.41029839459517287,,0.01038719617265947,0.042145670225040247,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.0605248557001126,,0.3843243102211099,0.0547763112540873,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.2508890593517293,,0.10156748620876316,0.08670740695063395,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.3632095015391536,,0.02661029389878945,0.06046258611559,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.5178440133739387,,0.016009034833315058,0.0663201150666757,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.14026747769382297,,0.011013037700163911,0.014842974948044714,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.060244357861482044,,0.5772171410275806,0.09131096497904476,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_065f3339,0.25517016670468157,,0.0007770791231974858,0.007117307730109835,,
