ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.42173646904033774,,0.029794156471427476,0.07447038897694519,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.21721312151057093,,0.11721006483941622,0.0817329309428983,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.2960213472437986,,0.05903338975385931,0.07529943421923987,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.5349381129207557,,0.0023875370453915424,0.026185288087982567,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.30712019154345604,,0.012066793150974323,0.034045727360659576,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.4045011199991002,,0.010269579591340996,0.04131057729800687,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.05739838308795836,,0.5453954180047657,0.0795204941403069,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.3634632478827086,,0.0006903517202809938,0.009554779329607481,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.5428189409627907,,0.004203547016717326,0.0353049416845357,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.1799719628791621,,0.12674130645230428,0.0710076117266163,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.49190990320426425,,0.003781912252352542,0.030337225706090883,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.4426896969457026,,0.02039939152316808,0.06421444988896256,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.11737815032534493,,0.035871167742541954,0.022850459404549835,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.13571170511384495,,0.3158002410576808,0.1022874663839865,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.306176562756185,,0.006291803455232802,0.024401495521591265,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.1600359990733001,,0.008713714713885334,0.015037377754182856,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.0036172209424521922,,0.9463945090544077,0.047645937805642184,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.5281362024937533,,0.0001849245933085665,0.007182961105354719,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.39503930495436285,,0.01140423021542757,0.042551297399156786,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.05840700123714054,,0.38061365974926686,0.05234867683657579,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.2389115237700065,,0.11777863559809142,0.09015984127424469,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.3653629033811305,,0.01974671888283842,0.05211694975037963,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_d89e4de2,0.5013252578320294,,0.01805148963955504,0.06828394115494286,,
