ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.4187056043279278,,0.026377761962634652,0.06938319244282072,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.2364868261675406,,0.13842750791787906,0.09852610335392478,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.3205851846261968,,0.08377598909030015,0.0991310491039902,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.5555663780494867,,0.0009346322689783416,0.01699655625645286,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.3113812983724495,,0.013572187919251555,0.03664996333236954,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.40338551370344417,,0.009972607797546093,0.04058747050960809,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.06755867601687447,,0.48155639662173555,0.07879297940729028,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.37753216750722207,,4.5541249523924916e-05,0.002547834808965138,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.5411573262935265,,0.003664657180223537,0.03285008010435709,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.18881142044971563,,0.12092912126236373,0.07239797149208452,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.48156075059875353,,0.003605456786021879,0.028993996276360377,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.41892871539474025,,0.023430759458043585,0.06527866892161258,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.1356071138626371,,7.55892358171238e-05,0.0011790631665837541,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.13033142227039782,,0.34540506352836553,0.10643186948535666,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.3053031807835789,,0.012524651945082283,0.034492428833486695,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.19266647513479943,,0.01900351646773908,0.026945270116611297,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_65f7fc90,0.011028589887802887,,0.8313461285655982,0.04557666728424848,,
