ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.41804852913046764,,0.02399255701615414,0.0659464054145033,,
OPA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.20492983131656628,,0.14398665677794203,0.08751073297349309,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.2783067585276025,,0.10244114879301737,0.09666754032883074,,
V3v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.5341455863623374,,0.0018172092501469884,0.022801039387861124,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.31016708779335805,,0.011834008015647522,0.0340441943473406,,
V2v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.399858175806123,,0.009942745868875663,0.040171368564513414,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.07061919659926472,,0.49279858468901994,0.0848491879954413,,
hV4_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.3659800551551098,,0.00014333338344905578,0.004382054606668684,,
V1d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.5325664260256705,,0.0032717769719906803,0.03053749118325455,,
OPA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.1700470663545799,,0.13911315668994956,0.07106441100228277,,
V1v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.4923266721275837,,0.0032341984288456736,0.0280667504655,,
V3d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.4338567462340694,,0.023787506727061015,0.06813625789341252,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.12694652228843792,,0.01603506051326353,0.01627153348103264,,
PPA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.13344590494275058,,0.330080843321239,0.10457448631872136,,
OFA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.31065929975011386,,0.007059783915912062,0.026241526812806525,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.1670468118627666,,0.006970314022374648,0.014019871004911422,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.0010993888998472267,,0.9827412995781244,0.045036389853001874,,
V2v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.5299333551319468,,0.0005428267602397292,0.012351757210634574,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.38411759180516675,,0.010663016505774522,0.03998519095715797,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.051806347820147335,,0.4171743814782226,0.051074567382456006,,
PPA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.22698687121803077,,0.13618791347729875,0.0936131392549294,,
V2d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.34234878616792885,,0.028839847201132293,0.05943200377720619,,
V3d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.5015298448119955,,0.012594910614921555,0.05682339351329339,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.14148296306420405,,0.02726196260762627,0.02385099593203157,,
RSC_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.04812757359509536,,0.6560373234958192,0.09290209919167515,,
OFA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.2564477695661083,,0.00012094055548410253,0.0028204882922262006,,
EBA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.06990885703200155,,0.24446369575918367,0.042862150858427796,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.1672032726063495,,0.24617023250997674,0.10305474168693117,,
hV4_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.3333791649694431,,0.009616913683823957,0.032931115112454966,,
RSC_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.0782351174483932,,0.6430913736647828,0.14479092412112865,,
V3v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.4490819411158365,,0.02378105663124014,0.0705174282106501,,
V1v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.5548420012322967,,0.005443651817466608,0.04110486844560646,,
EBA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.1358340784785044,,0.02030129102052906,0.019654526497270706,,
V1d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.4616302444398768,,0.0093618256466055,0.04498219414067998,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.023711559225897585,,0.5421852366422826,0.032559695742832274,,
V2v_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.15317074763767033,,0.057668953408123086,0.038467148621322576,,
PPA_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.30998285674787973,,0.13982163397528422,0.12995669080777503,,
V2d_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.24614335048543623,,0.18836854933313854,0.1252718135989781,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.24438636276961956,,0.1531446363843273,0.10852256885430575,,
V2v_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.3543500948901516,,0.020233836382270314,0.05118482045633419,,
V3d_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.32962291300946867,,0.04311175665957413,0.07074928386307897,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.1050142585480589,,0.02116379850398602,0.015524763107980462,,
EBA_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.16686045765428123,,0.010478020517522744,0.017215790943684594,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.06450630690257776,,0.260293352120832,0.041495137552354566,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.14677906916892403,,0.1250008645528237,0.0574246757664478,,
OPA_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.23514380841417112,,0.033188215105747,0.04393897923819351,,
V1v_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.3745378685436736,,0.0020198737835640202,0.01685840729913587,,
OFA_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.23129188907827034,,0.1004456278033191,0.07941624890117313,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.06345406929323644,,0.4159402275636902,0.06235746202022772,,
V2d_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.34029399102393504,,0.005066262215940587,0.024313819827182077,,
V3v_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.35830036274787885,,0.0032233655088152557,0.020391722912229737,,
EBA_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.12956246806258545,,0.1725723105386243,0.06217843999700881,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.08081831936285885,,0.14534344900322563,0.0347162391211598,,
RSC_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.2619634324695193,,0.08632649272993724,0.08240254266534706,,
OPA_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.27957949714178476,,0.06644402302131504,0.0759025370646682,,
hV4_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.3637889342312624,,0.03871434487528699,0.07373749985761952,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.017738867994338114,,0.7177338217100628,0.04263073892744519,,
hV4_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.29671377691225437,,0.056843421843268606,0.07393207938966524,,
V1d_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.4842614700270107,,0.0026625202096950996,0.02503773049514791,,
V1d_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.4397240032606764,,0.04692771069125336,0.09876729870834972,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.04735360854693379,,0.6561263518594089,0.09143493175393363,,
V3d_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.27340452202080007,,0.07214003002831405,0.07770235098569696,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.02547907002435372,,0.8090937851035924,0.09263747755639623,,
RSC_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.2935712126907212,,0.02227067235891808,0.04455843386419988,,
V1v_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.3621411420562651,,0.05302607918286056,0.08688597426036017,,
PPA_lh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.32495464783296596,,0.10421141048981301,0.11401311690385547,,
V3v_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.29666159455414237,,0.0919480199941934,0.09676134819418684,,
OFA_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.06532878613815031,,0.18644295646349734,0.033017195569207944,,
V3v_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.44423405085292805,,0.02365527732575251,0.0695647189127312,,
PPA_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.34375902267130015,,0.02057935120707409,0.0500904276944447,,
RSC_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.23090654500096308,,0.1575184204914822,0.10440663113799097,,
V3d_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.32913078296042486,,0.03793753678408294,0.06599958645847107,,
VWFA-1_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.12928240414874967,,0.15378530420898243,0.05756286196469857,,
RSC_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.2855049243217774,,0.025468132701366455,0.046455077179656155,,
V3v_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.3726352756933307,,0.03823206876761051,0.0750302494092594,,
OPA_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.31936685397605813,,0.0033763427003593647,0.018604372107223183,,
OPA_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.23992899899394118,,0.06277632434371704,0.06312658840334376,,
hV4_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.26256188397811364,,0.060521449218668665,0.06770596975222616,,
V2d_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.34723810519676146,,0.007645187017879307,0.03053674890065228,,
V3d_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.295860427806266,,0.03931689442823138,0.06046235185204555,,
OFA_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.16778067795859064,,0.1269481649358589,0.06626360041052806,,
EBA_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.14428317195026916,,0.07187075970493753,0.04092007458027822,,
V1v_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.5757543409100198,,0.0033356032305984547,0.0333359632402758,,
V1v_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.5422605032610331,,0.00030865089801269816,0.009528889644995427,,
mfs-words_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.265021648415156,,0.05231958008172978,0.06312413200471298,,
OWFA_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.3723742179716572,,0.030789225299459367,0.06689472231187135,,
hV4_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.29440976992942564,,0.04557080528697912,0.06509487943261118,,
EBA_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.11631544414241396,,0.0639358109925479,0.0309135385529127,,
V2v_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.5077320847086154,,0.008342626358974838,0.04666772992451975,,
FFA-1_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.19063887700300527,,0.05823279011927001,0.04813215304789825,,
VWFA-2_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.26258141611254326,,0.07202871514127775,0.0745620028391299,,
FFA-2_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.1481610875238072,,0.37356428800785013,0.13035982774773122,,
V2d_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.3409391291129092,,0.027653063807073813,0.05790337556316591,,
OFA_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.1771141669888383,,0.11029024785224292,0.0642622697250098,,
OWFA_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.36689929210195293,,0.03220036207028511,0.06747878222818428,,
V1d_lh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.5856442911054173,,0.00461004039165415,0.03990174759660003,,
FFA-1_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.1412653039241258,,0.012653973530226695,0.01604358183494938,,
PPA_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.4037578794811431,,0.02002171872206031,0.05800567078181959,,
V2v_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.36447919069238804,,0.016276074275606605,0.04707604325559782,,
VWFA-1_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.007382635597651639,,0.8987031922961285,0.05126972734739884,,
FBA-2_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.12815988438753748,,0.18719815779355298,0.06494988434586194,,
V1d_rh_subj03,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.5889548204120838,,0.0003058139624311955,0.010301732377873622,,
RSC_lh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.014858431453471377,,0.9308158724381727,0.15149895603176922,,
hV4_rh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.2456696831881701,,0.08696131455279771,0.07760189260554179,,
PPA_lh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.121496423841357,,0.1980162428961542,0.06398950766752404,,
hV4_lh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.1515738993315883,,5.007059547460408e-05,0.001072585967737398,,
FFA-2_rh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.06400681573692855,,0.0791833524109018,0.019168933897736787,,
OWFA_lh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.11511406405841201,,0.25645237137151256,0.07320232305267754,,
V1v_lh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.4503040917865147,,0.002701128876684362,0.02345091265912426,,
V2d_lh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.190807701429786,,0.012251921235932642,0.021316577509582945,,
V3d_lh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.24111674365884705,,0.0636305644371699,0.06391343217824874,,
EBA_lh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.08034365685653465,,0.04156947366769177,0.016912869861508185,,
RSC_rh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.027904409623887832,,0.8938328828381967,0.18480186588558475,,
OPA_rh_subj04,backbone.layer1,resnet50_t=20_gs=224_c8ad1266,0.12315504586679206,,0.290020398309473,0.0863775891412749,,
