ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.4228189549589308,,0.026751061316509516,0.07057923701832473,,
OPA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.22462347575199104,,0.1215491847413591,0.0863969943680518,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.30682093201840094,,0.06944589299147752,0.08536751295953786,,
V3v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.541354299444368,,0.002382428105922177,0.0264708921789092,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.3181274300091043,,0.013530056399018296,0.0373846280774502,,
V2v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.4046763904908604,,0.013507670768870089,0.04751523010316503,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.07502028149966565,,0.4868828844695581,0.08873515581480927,,
hV4_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.3698834297332003,,0.00030284151330036877,0.006438300441161862,,
V1d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.5425677642018322,,0.003853306086440722,0.03377759099686568,,
OPA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.18191150766125408,,0.1390745779521805,0.07600952227735057,,
V1v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.5014031281059904,,0.0051353148640061845,0.03607017802612055,,
V3d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.4360710396213788,,0.023764962925158638,0.06845035816148005,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.12889420745154576,,0.021100032624884493,0.01902539019975553,,
PPA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.13173849678417432,,0.36318131073026194,0.11278307689721193,,
OFA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.3164938777217348,,0.00682819736275074,0.026287624026326267,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.17963904488349347,,0.009191771450824693,0.017342450236901303,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.018363175564630636,,0.7703298336100044,0.05502510508747456,,
V2v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.5387036034833436,,0.00042088430049409755,0.01105524491473108,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.39044812333370205,,0.011960678560821371,0.04308881074875493,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.07109727507393308,,0.3484869747825986,0.058539516655035935,,
PPA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.23186768788417186,,0.14666788736877032,0.1001731401269461,,
V2d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.35197364148523275,,0.0329700455280759,0.06554211879831458,,
V3d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.5079130571860845,,0.013057393045359474,0.058614272835585034,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.15500352314320742,,0.010594321112630836,0.016082383561582224,,
RSC_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.05653963926673933,,0.6419395403887855,0.10425293407491272,,
OFA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.2584106216069738,,0.000642247531498194,0.006551954222932147,,
EBA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.08641652708231727,,0.19075307600525224,0.04435937822901682,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.1793635242045255,,0.22056258171400864,0.10194012395123025,,
hV4_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.34185544582010774,,0.008383268438005105,0.03149874338198431,,
RSC_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.09086728101233926,,0.6063120148488759,0.15002762682176726,,
V3v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.4585598670046336,,0.023723825480161838,0.07191583576696531,,
V1v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.5635463186760515,,0.004358432036727364,0.03732656358124804,,
EBA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.13864085037587773,,0.010857390626716444,0.014565084116427193,,
V1d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.48162508954090716,,0.010979923686241625,0.05088716327169821,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.019175265047547234,,0.5415600894417618,0.026285216261170252,,
V2v_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.1491722078671698,,0.07504297917207312,0.0433427955005867,,
PPA_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.2909391940092945,,0.1638250533912759,0.13493893252639194,,
V2d_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_c4828357,0.24370699321403658,,0.18228518583216136,0.12130806881423979,,
