ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.41223948846009484,,0.029800832987675586,0.07280194171821168,,
OPA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.22164167616611552,,0.10815104264073809,0.0794883906889992,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.32066316380439985,,0.06045777497503115,0.08264060191649288,,
V3v_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.5306835810794577,,0.0018225421646838424,0.022686563512925063,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.3136647229653819,,0.01660718604363277,0.040933232515748035,,
V2v_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.39978656719576283,,0.010133480675697353,0.040553454871539656,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.09117321297949688,,0.44692275980213914,0.09711341770267952,,
hV4_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.36701474378963533,,0.0006510723942188054,0.009369368070997305,,
V1d_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.5333118687621723,,0.003915864766245913,0.03347137026300084,,
OPA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.18045882807978653,,0.09349426315026536,0.059429779344593814,,
V1v_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.5006344813710868,,0.00376247739022722,0.030795405159492036,,
V3d_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.42496390198894146,,0.023356110813620868,0.06610971528429967,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.12115808285500744,,0.001081037413895096,0.003986805913111521,,
PPA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.13858500672979085,,0.32983126604750634,0.10852834306990018,,
OFA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.3148407428464306,,0.006792944765797844,0.026082029645909218,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.1837268837423235,,0.004994652472283104,0.013033377248476854,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.038533639144270854,,0.5811180489018393,0.05906615418927786,,
V2v_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.5225626843451435,,0.0005431835792240692,0.012183966396160175,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_7bca8d7c,0.3832871964440739,,0.0122744399432439,0.04285999100832826,,
