ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.459194683125044,,0.027211569757728996,0.07733578715054253,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.15615671744029022,,0.0877316682397117,0.049576479595658064,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.30732615466668395,,0.05833529271093756,0.07766780640990957,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.5507206655322885,,0.0020557101368583234,0.02500821555285844,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.3571248791723088,,0.008288999311262254,0.03271780733920558,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.42726850192128535,,0.008738962622694193,0.04020609393721059,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,-0.045284109698806065,,0.5424866782871596,0.06223402601622222,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.3574073244738629,,0.0015367216699427354,0.01402691120098957,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.5842945067650277,,0.003681687540769244,0.0355514281744608,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.1332774391245113,,0.12396926156653759,0.05187991770804526,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.5215827766078728,,0.007327031209556273,0.044893563923217646,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.3706928820281095,,0.03744412318318483,0.0738203580095115,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.01687672578383558,,0.5913848968114841,0.026655698407699362,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_ea169a8c,0.058717954055101405,,0.5235063131412652,0.0766082470345487,,
