ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.4628014950775263,,0.027326828442180033,0.07811510168387244,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.17037532402936242,,0.11068696481175924,0.06194941915229989,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.28792881988470637,,0.08276369228135276,0.0884192146343031,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.5481146788940453,,0.0024362290309750245,0.02710348585446727,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.35720804401650846,,0.00398235162091389,0.0226095120059022,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.4284016440424064,,0.012816162785020452,0.04897067895631247,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.0005473060204148871,,0.9940578177201221,0.06512707750629089,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.3611128217339275,,0.0039398018732495306,0.022733501535920183,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.5834014558311306,,0.003078236479421793,0.03244314510847,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.14241004701493556,,0.14202510623400086,0.06029114536899942,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.5358338126260367,,0.0075569246149507574,0.04684627006660675,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.38149166081849245,,0.045010597781251147,0.08379171765429783,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,-0.005138877616954171,,0.8370256559024052,0.021998267930775885,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.09445953719054805,,0.39409554177375705,0.08769751359009899,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.31458466740312163,,0.0042029168147918565,0.020459041956640958,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.13443292036811946,,0.0007432678962047053,0.0036670811733723867,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.017493755845367814,,0.41620015566033597,0.017203046187852643,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.5631928498083568,,0.00030994539140066513,0.009917465491113516,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.39108850142844864,,0.013259977650796208,0.045488249260825626,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.054426752874588535,,0.19285980077331413,0.028149146392370147,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.22257039670308432,,0.09174871302626862,0.07250436488581237,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.35889053746790295,,0.0427625684683891,0.07669746059164377,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.49896700193979754,,0.0342195207759983,0.09475079777569605,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.0934644816139632,,0.07355269210226352,0.026852747856982623,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.05937428363173203,,0.512293438135598,0.07515239438292341,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.1688064292882432,,0.033936920978658136,0.03191563160477797,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.07977261569305305,,0.05035616072555614,0.01861152782519129,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.09811624363587446,,0.5567237175439721,0.14029623595047008,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.28701150124925057,,0.023817991323862156,0.04510446544936486,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.11345658658292218,,0.4131116683899092,0.1106792365621578,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.4611039273222346,,0.021986495990187645,0.06952349696292322,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.587369458614127,,0.002531801089758516,0.029610928975795852,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.13091007280311465,,0.05247788597638291,0.031231876348128757,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.5090581218602704,,0.009239644275549607,0.049274346146693515,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.03473707607721676,,0.34507525990287113,0.028342157142308505,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=224_af1300e2,0.17938145998743724,,0.09832950688090612,0.060830903002064236,,
