ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.47859101283843114,,0.0235557716989233,0.07478130654505427,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.20039791247840522,,0.10468891065680977,0.07050092641957112,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.29620698914240723,,0.08659600356791218,0.09334040041194043,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.5475301204828534,,0.0020112524833497962,0.0245921890432038,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.3589894829812968,,0.00824667359461035,0.03280350427597796,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.4291803137167738,,0.016467738563527245,0.055766424599788436,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.0232166872684364,,0.7615356807202228,0.0668572832791944,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.3709535053447392,,0.0018250772054591864,0.015869206052207884,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.5834149721025804,,0.00303637170303687,0.032221503627404384,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.15317035657394107,,0.11736873900012801,0.0576818621817328,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.5382345390160689,,0.008641104491138415,0.05035992275629292,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.39109666783832636,,0.03748817940978623,0.0779320968599119,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.04097338225607914,,0.2878089534385239,0.02855739370796858,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.09030009944913275,,0.36153933256579796,0.07697237185889527,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.31852817158847124,,0.007123365811631204,0.027028403382402123,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.14388397417336724,,0.006074904861456515,0.011265952895692022,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.025594259743298892,,0.3790708677082957,0.022846925080659723,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.5578963396409359,,0.0003284818311120854,0.010113842877194268,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.3971211049547893,,0.016096125565773067,0.05100071774561499,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.06133265489972751,,0.1742863172078534,0.02962751774746065,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.23301241053177724,,0.07240921333321972,0.06636085365462598,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.36082784936688417,,0.036992834862956604,0.07139623047627895,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.5089945902246992,,0.032226621274522006,0.09365251082458216,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.14212380228581015,,0.0728970536580717,0.04062854823408349,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.05149511684665945,,0.44305163072277176,0.05430006989156707,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.18074049167729445,,0.03977029903141958,0.037161927980989794,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.08096663084749689,,0.062214261705251975,0.021197532014716164,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.11854934338860366,,0.4782030727820723,0.13704625441347593,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.30761065892641853,,0.024981525439572664,0.049552845202067555,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.10434469764108491,,0.30673377681892,0.07670060144724833,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.46579477745113423,,0.025657442923328815,0.07608269437910521,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.5829406275497007,,0.0032852011064376184,0.03349480226928387,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.1469099796835206,,0.058853380168883855,0.03730730602388415,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.5044101195280205,,0.008823729432989248,0.047697854246668656,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.03685311066866826,,0.29515589231824146,0.026226126113778413,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.18460716344553255,,0.0772715425306181,0.054529109419679526,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.29132175440077046,,0.20625957085299587,0.15785788164369396,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.2647076638717176,,0.12515970878707225,0.10364232621891983,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.21411560135880145,,0.19039819741405495,0.10977028075124533,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.3907115276929774,,0.006288063423550735,0.03112937360691855,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.3585783252992822,,0.08435828093914965,0.11131776253037082,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.09008495200497658,,0.14532598854221448,0.038693872072593546,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.20158849179405577,,0.0037114007297237408,0.012315333153984647,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.06064662215391803,,0.12843665868067025,0.024123450555271934,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.10679285054201963,,0.23876062020110042,0.06432747093178308,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.2187959788963673,,0.0684582871771592,0.06039306790137165,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.40153073326259037,,0.003189459301715639,0.022730978698800464,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.21003170832399684,,0.19306103337189506,0.10870467805371195,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.08804181421142519,,0.40656209789931563,0.08443640233413406,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.36682659411272134,,0.02137941956620774,0.054514331039316695,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.34888315558598576,,0.0071345334605711535,0.029627593597796563,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.11948097459993977,,0.16589983621427987,0.05587275105433729,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.10443646404997968,,0.21202249409318905,0.05770259388658739,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.2515604764674442,,0.18171383651809273,0.12495318164968724,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.23774999865876834,,0.12169512671216899,0.09151238395463905,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.36729563921828295,,0.04131268744888253,0.07706338354077884,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.05742022077191485,,0.304532245776051,0.04195022277521036,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.29307633501333674,,0.09669648437529434,0.09842182660396352,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.5184377519911636,,0.004493266089206139,0.03486944915796815,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.4723681204884434,,0.03310481043396853,0.08815000562083239,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.11511074078528004,,0.32552105623716,0.0890967460364821,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.2395781343043133,,0.06740124635496832,0.06556048553730864,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.046428891271457294,,0.6026408327631689,0.07581818428584165,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.2732339038853892,,0.10846545428289017,0.09815993716508609,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.42123011072081606,,0.03584831958332189,0.08197491227980469,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.31347384533905415,,0.11943475426392136,0.11929832221761526,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.31746954638651953,,0.12644360516993627,0.1250771412087122,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.04945657338426728,,0.15315808938444506,0.02196299245619252,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.42805116158570317,,0.008730906592307894,0.04026092642354745,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.3954238046830663,,0.004834657864221186,0.02759464992030534,,
RSC_lh_subj03,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.2371265816062231,,0.1369424060972211,0.09813130673808405,,
V3d_lh_subj03,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.3678320497421775,,0.007526258287902412,0.032092341629434605,,
VWFA-1_lh_subj03,backbone.blocks.1,vit_base_t=0_gs=540_1ff2dd18,0.11326045490547675,,0.11607125103964916,0.04236825859000445,,
