ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.4591429797772799,,0.026759369695585927,0.07665503454739489,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.1913611565630795,,0.10196820970591981,0.06628743535606917,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.3005834715945238,,0.08351901620847695,0.09278367757806233,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.5349994951956026,,0.0033828895391704674,0.031196174297188024,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.3510033107694673,,0.008861546977889833,0.0332634576646999,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.4234489561310573,,0.010112220408590538,0.04290793973035267,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.030502665335444188,,0.6716168016445062,0.06203893397138099,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.3533312534213029,,0.0028353100235663973,0.018854168359457506,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.5750290901587988,,0.003644182587071044,0.03480802612363782,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.1684600646469854,,0.18020085698771024,0.08320791875252716,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.536155071726919,,0.0067530003475645885,0.04428402674823567,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.4001177789596986,,0.05076823925941478,0.09376232779668314,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.057002607594626,,0.10833147985051714,0.020463322419182854,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.10843439616782446,,0.35424712511340717,0.09066114457937477,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.3091510579674102,,0.010092917252829393,0.03129580037226517,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.169373148251208,,0.0003572561918326467,0.0032022175431886094,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.034888420359611066,,0.07727699835050485,0.010305722518041497,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.5461868892535803,,2.863252162547608e-06,0.0009242128496863031,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.3825318188025053,,0.025652992518357044,0.0624769287190716,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.06644030729841116,,0.020818438107675762,0.009739133020606014,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.22513374205519476,,0.10540158126940209,0.07952059380825702,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.3624934514265122,,0.04436993029788083,0.0790101865369456,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.5024095285167861,,0.03802708519594083,0.10087256123123198,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.12901851423672436,,0.0752726051675766,0.037551423266518794,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.07076818305779144,,0.47612122308450877,0.08136286321501364,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.1713898756444617,,0.06188779876798083,0.04474117208397106,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.10428113007269728,,0.06564084439894066,0.028121114052797665,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.11751905391800542,,0.3996522489562083,0.11069772948272827,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.2994988166380162,,0.03561487408154632,0.058084283249026473,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.11465121855562925,,0.4207630566148578,0.11409060212105877,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.4603464085796943,,0.024932969930789504,0.07408208825563439,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.5781851082500246,,0.001264264056316027,0.020577750555263997,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.16031143741695358,,0.09628670210730327,0.053703521586186,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.5064624692191201,,0.009309892911715197,0.049211728101212424,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.03612729370450291,,0.3402242392511905,0.0290958742193396,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.1749701448927168,,0.07538011838434054,0.050966712061808216,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.2663367393454724,,0.24703301590107024,0.16459040559096838,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.26159806828036475,,0.1649168941741263,0.12185694310896898,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.23605982114008264,,0.15367671642899594,0.10505789536617656,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.37880358086822147,,0.005611119008136476,0.028495250588646576,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.36999810224066493,,0.06500655867225126,0.09924171731445922,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=10_gs=224_a7aae846,0.09090417150877798,,0.14194644110079138,0.03847209058802242,,
