ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.48249106455573215,,0.021463277616520626,0.07184842093575815,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.17583922647739866,,0.14849033691673985,0.07656376362815182,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.272779445485685,,0.1072703375509485,0.09735556846208109,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.5447507146280532,,0.0015632654576148782,0.02156372712680781,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.3703925650670623,,0.0031282918628728717,0.020765228118804966,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.4272191311296269,,0.010897460333497085,0.04496614038254055,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.00962994912065415,,0.8812302723938119,0.05692699920193565,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.3604167887180394,,0.0012538124999783027,0.012774090901258403,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.581360677192505,,0.0038553240506281022,0.03620217707089108,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.1691019445990625,,0.1466210539071292,0.073041883051856,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.5201437108987081,,0.008888441426482922,0.04936810045066868,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.3994127280584383,,0.043332613764139105,0.08596306265257377,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.061693712776198194,,0.014243090019063279,0.0074425409022679965,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.09947158113828114,,0.4042606340073208,0.09482861998222121,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.31385592815543834,,0.00894055489612857,0.029877206153178446,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.17248184299810745,,0.0037780984318765225,0.010631960225897411,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.016209418734631324,,0.4029236370992101,0.015399151043047003,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.5503988323351545,,0.00039998909406463044,0.011011130104596034,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.3843966358662241,,0.013559339757167738,0.04522209570195735,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.054984796333543424,,0.0018008991714728612,0.002336547032193332,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.21953958137843407,,0.11913839742112914,0.08342466127006967,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.36575066206901835,,0.03732521330940539,0.07271363344866162,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.5105959584720258,,0.035091641122875876,0.09825378648515935,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.10828353416448537,,0.059325158318075534,0.02761873200182297,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.04205929468649868,,0.6906127086033895,0.09141045296834885,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.1863011143259358,,0.02148898069964634,0.027759515288838275,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.11072590159731073,,0.09013786214129337,0.0357037037744845,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.1127887545362571,,0.38403027918672505,0.10199779484068901,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.3034020517319684,,0.022002467263183573,0.04576298249836099,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.1032514614807883,,0.5094540527262693,0.12969603894207182,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.47349398696220657,,0.021151122698600245,0.06997724655623914,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.5778016176162192,,0.0015355788519322382,0.022668116351410177,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.15849201985726344,,0.12150382790501633,0.06094704674609238,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.5079977543752207,,0.011368018886733335,0.054630068152229753,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.034899022269769875,,0.35155839037666436,0.028970961222111388,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.16764825371436132,,0.0675786799455928,0.0459438730476607,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.2579361177157398,,0.2465819646397299,0.15917854760940905,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.2602179069228972,,0.15508830288629083,0.11648987327488523,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.25430683230769807,,0.1327923321745094,0.10325301249551058,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.38438977468606694,,0.004215031454177554,0.025035054766566887,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.38667140685145734,,0.05180626227696767,0.09160879686856341,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.08455596576860369,,0.0873623095476529,0.02677991931467348,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.17952718413236646,,0.0011936974258756688,0.006208210455209384,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.04242581731325843,,0.246066686727883,0.02614058097130472,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.12567561258093704,,0.29835872336763103,0.09024523055952755,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.14218940635179114,,0.2510412534464671,0.08895219646332035,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_2817d9f1,0.392207271422316,,0.003540270797974232,0.023398575045429068,,
