ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.45514497899711454,,0.0264284145769526,0.07549685587287845,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.208623349334083,,0.08848740365852809,0.06656018944820083,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.3087742869710154,,0.06587721260371082,0.08343183421347777,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.5436843847642394,,0.0022701097148729666,0.025948406104324924,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.3755655906375666,,0.0026581870350355272,0.019401965818051644,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.4324031267786323,,0.0072909390342907115,0.03712491971591531,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.031954398953162995,,0.6429713701203943,0.059115713375405596,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.36501335793838946,,0.00213118330625341,0.01687773625867015,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.574171375044983,,0.0032709324181847284,0.03291885881716819,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.17135513421636886,,0.17276765415673506,0.08229675698501403,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.5366013947456191,,0.005114530241479356,0.03852348516427914,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.4031315980566161,,0.04547070637266603,0.08902859581871862,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.06843238442480316,,0.1194809203797582,0.026049299890733905,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.11054575242913885,,0.31412074762016384,0.08293559039434178,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.3236575906271299,,0.004479030583486364,0.021734044328627355,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.16895722089302279,,0.0019307921269759894,0.007434882777707036,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.03784967555724199,,0.20317632374456202,0.020294306406319112,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.5535512569573863,,5.995493468810353e-05,0.004286371785927714,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.4000578713655935,,0.013614922182131043,0.04716291417932696,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.07288535540632257,,0.03525204030043553,0.01405908191782777,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.23655913241290868,,0.08528682561787916,0.07389798978134712,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.36799748558315565,,0.04008219090494628,0.07597845534806805,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.5052706151513924,,0.03600335962524919,0.09855426155251235,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.12022991588798686,,0.0851547345041746,0.03752503818673457,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.06277393107231931,,0.5390214390745822,0.08544930635286895,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.19304025570042635,,0.03556931949799745,0.03741260950552537,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.1001954545885297,,0.10512012584150811,0.03533475292340789,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.11157763492106935,,0.3967865818782079,0.10431945710492435,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.3096771540304885,,0.02993484703379297,0.0548178605201615,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.10302965996743596,,0.43532117591120034,0.10647882899989489,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.473913064577461,,0.02061559549230687,0.0691183740904222,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.5753925266430796,,0.0010127666080564262,0.018325210750677067,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.15381543498015257,,0.11922269377693678,0.05847455924547954,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.5052592602348237,,0.007492385496137162,0.043982052114753395,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.037482990791690096,,0.3464043672682383,0.03069138127653444,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.17516987384485047,,0.07804205901183695,0.05203189094685065,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.2638537928172944,,0.25073843371913734,0.16491217484626133,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.27111386629272455,,0.14756591212847706,0.11758186100740696,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.2308609964063755,,0.17929377347134837,0.11364501285763123,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.37853550565091015,,0.006830830812406529,0.03144685651152759,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.37487606203040746,,0.05965150144831326,0.09590349513919237,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_bfcceab3_center_crop,0.08854799791907718,,0.12363754718907756,0.03441228756265156,,
