ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.4677468795285143,,0.02316822792523878,0.0724615115126301,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.1842346072487335,,0.1000811685656447,0.06312430109456232,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.2909872343088871,,0.08563505073090512,0.09111240615696425,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.5425272226880585,,0.002434270711580152,0.026816370199824618,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.3586288506378636,,0.0039868019324758456,0.0227121981044638,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.4236849835203304,,0.008361102158689016,0.03898626089148357,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.0036032383388961953,,0.9613364346860849,0.0658493121037622,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.3591499020405726,,0.0021338350311024424,0.01661697910178654,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.5770710015070705,,0.003185363239885785,0.032647370248074764,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.16727896878219364,,0.18726140080453513,0.0847944023898854,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.5292137610235227,,0.005576183367071182,0.03968458679364632,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.39895686930512597,,0.05176273251227843,0.0944764247417099,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.048438162267960966,,0.1798541835946057,0.02389433504991362,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.10572880940561434,,0.33840642438330315,0.08473615749776013,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.3086005872177293,,0.0069259516701308645,0.025816749629531614,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.15916260184286082,,0.0001995075521120219,0.0022484627202735592,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.02399470343510657,,0.23281046175554768,0.014185365452109732,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.5505576915066407,,7.063529042238979e-06,0.0014632414751646135,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.38415758708349856,,0.01883970974467802,0.0534873849165354,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.05310803661003238,,0.06297755999060961,0.013997661845929254,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.23114797639963836,,0.08273280454486777,0.0709674875141552,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.3612657060161575,,0.05038359045723595,0.08431069530977621,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.5111598891065018,,0.034786663102349236,0.09791059556003527,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.10332554209626454,,0.09085912509503707,0.033470698357703645,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.05486796822885729,,0.5782798166991887,0.08341719379522262,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.1704675232752384,,0.04855867283611494,0.0389992086922368,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.08763831379306365,,0.12881021831835973,0.03492209737424216,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.09566136298987848,,0.47524260947878705,0.10972890928614032,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.28950712599919415,,0.03531103433337654,0.055893212509686784,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.10097556048346157,,0.4201327945369503,0.10031740985129177,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.4650739330975002,,0.022810174574829697,0.07146881021797856,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.5787185671070302,,0.0012679732224503617,0.02062698573431046,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.14576034604236587,,0.1309791667091222,0.05868165956074457,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.5018816076202165,,0.007166578980413131,0.04271705847584964,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e3428c46,0.03442151668486831,,0.36396972999817645,0.029530140959426375,,
