ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.4788941904204415,,0.024267506607928646,0.07599245103002185,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.20692296668452315,,0.07815370000095442,0.06151333584679879,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.3082215703842422,,0.0862244272317474,0.09688781220486861,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.5467827700156235,,0.0019674626493228486,0.02428900079832175,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.35616584489495146,,0.008066331031295983,0.03218326467520237,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.4303325542278709,,0.01100591348134693,0.04552241585225063,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.03452129602112403,,0.6570903057501403,0.06686952919553601,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.3682669881571667,,0.0012343543502028997,0.012950455999817145,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.58602835379103,,0.0029597366456981847,0.031952944110523365,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.1699166908725607,,0.14278332599652274,0.07217727272156456,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.5330110185240555,,0.006636401773806501,0.043638774393260825,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.4140210779720332,,0.040813749873596615,0.08630692047428723,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.07442940810435356,,0.08742582394052789,0.023582530416361568,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.10860815589510836,,0.3345627378413212,0.08614761312231317,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.31337446646612527,,0.009415595434920382,0.030624662896230063,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.16847390529431894,,0.0020475966657969575,0.00763523823872919,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.05557833906766777,,0.0555711192357944,0.013678608201606216,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.5564825768584488,,0.00011203382987282023,0.00589064236941626,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.3892441736350078,,0.020219949427966347,0.05620526951301557,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.08311892477824494,,0.05037878050502861,0.01939695039100298,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.23233707801037662,,0.08691112555106635,0.07336615083906407,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.3792182565859958,,0.03835448959940842,0.0764852339227873,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.5127326786926683,,0.03445789585684907,0.09772154755156974,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.12765304617888007,,0.09213437854164937,0.04168495728229044,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.06585991159481269,,0.49504309137680436,0.07960408626494737,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.18667082411588218,,0.032089513505988834,0.03426971465941418,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.10945712915767787,,0.03240772278884053,0.020198935125533647,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.1163503091212134,,0.42422066945601866,0.11682615556888278,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.308561544225821,,0.025636600263368788,0.050379006772070994,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.1213254063380131,,0.3680813809222837,0.1052196319752107,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.4770395080087832,,0.02087552740375307,0.07002558210697796,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.5831126291144141,,0.0014642357573774252,0.022337537346143927,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.15997908827273702,,0.09571155582221495,0.05340596815191972,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.5164206789781737,,0.0067435038892953054,0.04262374575353596,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.027762452397433062,,0.46604671401170716,0.03108567897450911,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.16760889400466827,,0.08443344206486325,0.0520592625405707,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.26880038791946587,,0.23638070236507283,0.1607113054164205,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.26177847131298443,,0.16705394297789394,0.12297172356702006,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.232436266178486,,0.168020859458688,0.10960195930603078,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.38375243629747735,,0.005917173654161579,0.02965120386941597,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.37028208996643047,,0.06600702261290231,0.10016053042143055,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.08584019763073251,,0.11220425568408128,0.03146623762783192,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.18905214159357145,,0.0004323864109768052,0.003932407289664594,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.04575372757827443,,0.23182305802945394,0.02696443928973716,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.10754624923321338,,0.3072579476304308,0.07916909367394713,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.15298535608395325,,0.22569633886291507,0.0884096726572792,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.3911206894492006,,0.0037722265352675825,0.02409023721881021,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.24107370221013855,,0.13281079794961198,0.09788853630692784,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_ab0cec79,0.08700967895232371,,0.3820666041331324,0.07828179224470072,,
