ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.4697370729884689,,0.02226648542047272,0.07129007313615997,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.21380164637535962,,0.07204812167741294,0.06071975611782267,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.3166532904335073,,0.08416023947636476,0.0981708577616729,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.5403301642904073,,0.0023827220823599725,0.026422450363432874,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.35319962169971125,,0.004057598026272827,0.022567295814377927,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.42652624887582274,,0.008021453400218745,0.03843238589512278,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.03055106038486378,,0.6606304850764587,0.05987809476480059,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.36275291905433815,,0.001373314909456227,0.01345685768207134,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.5822018575880845,,0.0025270350941156397,0.02932267230624709,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.17752462844388925,,0.13206205303731353,0.07183319488045639,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.5351371819744419,,0.00478148179489175,0.03713711545650605,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.4034759137315264,,0.04332101413861051,0.08682513741430939,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.06401124098930785,,0.06464060315664662,0.01711576237298805,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.11684608913294094,,0.28747796867193215,0.0813619321018839,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.31703594676183,,0.006042590577620504,0.024756842688564314,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.16744695044456495,,0.0004469192363852743,0.003541093347641276,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.04836620295271732,,0.05377366666127977,0.011692663823372336,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.5493776858042541,,0.00014693071383278648,0.006660014464255999,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.3876341415619173,,0.017668562451407688,0.0522201028275795,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.08081443303022735,,0.025994090585248562,0.013289966279408712,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.2380668208974435,,0.08151261097300255,0.07247739134365237,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.3680024531494355,,0.03921465134699252,0.07510148937277919,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.5044140537300968,,0.032825240397706304,0.09371144951241217,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.1363929014204178,,0.08069569355954172,0.041287118504052735,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.06019660181217742,,0.4907214769970083,0.07192897055610145,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.17960693970897687,,0.03598035817870566,0.035020947116605916,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.09663470992359662,,0.061922492544489574,0.025234180895422703,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.12133189787847452,,0.3935393875540477,0.1124829082586861,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.30356423433663116,,0.027601767318922214,0.05150592498341795,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.11699144458326612,,0.3542661280303413,0.09782056277454376,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.46455927423582954,,0.021019809239266277,0.06843642919142433,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.5779192614853339,,0.0015884186851347767,0.02306043651920112,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.15882610571639633,,0.10248589918723934,0.05518107705883981,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.5112934597445858,,0.0064828378912247,0.04136875361660912,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.03368677457975392,,0.39692273104010334,0.031506610684673565,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.17657139199671978,,0.06708302374787606,0.04819203462100169,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.2749617031513806,,0.25153242556045413,0.1722701380719158,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.27411276965819137,,0.1493703837466279,0.11980247023144551,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.2376888794265152,,0.1402758621467049,0.099850554811959,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.38200785422792977,,0.005453612437324936,0.02832673087809619,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.3712007919954878,,0.05248174894558159,0.0885627778491512,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.09019779494690101,,0.12108429863574742,0.03461236403998272,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.18931710747226896,,0.0003846612958325384,0.0037141071252612613,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.0555879645380146,,0.16739594169889885,0.026147732598317448,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.11662112430496335,,0.2795471165731001,0.07937898521396941,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.1693678802896191,,0.19310613094126525,0.08767262140060067,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.38876866657519066,,0.003114212309802471,0.021746109687165935,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.23948230222717656,,0.12442369523530336,0.09342935335689588,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.07918035825510901,,0.4563232747280409,0.08643232819447572,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.36303770272411734,,0.01067469327500328,0.03781187559407178,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.34997230819485425,,0.004397121395360588,0.023283798335445034,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.1314741632553402,,0.12902563571364775,0.05244353614344938,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.08978008030669275,,0.278531602906659,0.06093045845799532,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.23877917082158492,,0.22264458777036025,0.13663281844254282,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.23110215614319896,,0.13026913765150405,0.09272875647047818,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.3778871863709539,,0.02728573779401995,0.06373262805552196,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.05332637304138623,,0.4029088763664611,0.05065877680723678,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.3018861461786423,,0.11501513280890607,0.11231138103720659,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.5090524857354954,,0.005870099967512124,0.03917453949058885,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_290cb142,0.46958234889986716,,0.03318341430167339,0.08773949685078793,,
