ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.47188221306072614,,0.022617665900826405,0.07219769657595491,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.22576487259145647,,0.07138534508674454,0.06378713578440158,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.30721332192089407,,0.09254037818250496,0.10057523323888445,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.545273902626442,,0.0021614375782728922,0.025391653069876712,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.36251164878474706,,0.006014031491533254,0.02824038498063277,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.42963870088347583,,0.009215572441576935,0.0415319670694191,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.0298637090260257,,0.6924922386109811,0.06534347981929688,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.3698138420252867,,0.001300722670613938,0.013350560887443515,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.5830195389565038,,0.0022693425990487166,0.027821035780334586,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.19113316963242885,,0.12712799972672711,0.07555185934454323,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.530772864031983,,0.005529177895024903,0.039631982112025455,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.39926389535697543,,0.04550437711850132,0.08820943465804897,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.07322255399343117,,0.028821316489359906,0.012707222603114621,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.12062458827445875,,0.28563992219842466,0.08355340357023655,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.3191234335715791,,0.008622827256851389,0.029826781222442856,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.17368781327163418,,0.0007969685270498831,0.004906249648839999,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.025491634221482484,,0.31735707694449833,0.019295638912507657,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.5559992656458753,,4.304726132294449e-05,0.003648051856180074,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.38646527884927934,,0.01743260963228244,0.051704497196093,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_e3fb57ff,0.06188381008689242,,0.12195192438397519,0.02385016747875596,,
