ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.4527186618257415,,0.030873091072263176,0.08144410544088217,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.19017057334720433,,0.10068392755550022,0.06538748882564194,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.30937143598818456,,0.06846434833120084,0.08539832217534198,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.5347577685807535,,0.0033103571547235234,0.030844296415466953,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.35105938220310456,,0.005917735868801975,0.027126426445771675,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.42643592095479216,,0.008136624066420371,0.0387024828481207,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.013657269246330614,,0.8547347939645948,0.0657742635522429,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3558806325686068,,0.003128318232682809,0.01995173367005484,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.5785626602486967,,0.003986887572756112,0.03664114505479597,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.16789361760748447,,0.16727249683610992,0.07893643324379813,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.5355408375174878,,0.006185743848508642,0.04231659234061622,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.4005338022836435,,0.055087555911048275,0.0981091214670466,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.0610851227220896,,0.06594808086958055,0.016515228275063926,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.10536176956305125,,0.37386316925423324,0.09277558303460544,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.310248008647856,,0.0074311717343365155,0.026894822831687197,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.16438746531087503,,0.001007694215471595,0.0052222962164266366,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.015993480380105323,,0.40378102908086644,0.015227947917337968,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.5501528369102683,,1.3715805647626193e-05,0.002037504073187828,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3850490666813438,,0.020746940217392148,0.05634220380450087,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.049234463307408854,,0.12147087339529636,0.018929672022072297,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.2264086201398857,,0.09888106624422842,0.07702949649718585,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3604386334084831,,0.054712324570688115,0.08796032839945281,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.5034254577644744,,0.03763394450624008,0.10052168530306367,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.10394876050157698,,0.10247751938974006,0.03611326451636327,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.049550276176623,,0.6187610717770516,0.08496298031272556,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.1838580272554883,,0.03383658140857343,0.03470723795276091,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.08981053848859173,,0.0657332486441628,0.024237741010588523,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.11550668705425853,,0.40479426911683525,0.11026826822362898,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.30800897778929487,,0.027351290430648687,0.05201231086617149,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.0961045463776939,,0.48445815261379144,0.11294762742417364,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.46180997170482424,,0.02120294107189115,0.06833675211723136,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.5807546690028781,,0.0011614668317118195,0.01980955348816273,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.14737945387669868,,0.07367356660081008,0.04238172971170177,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.5099672207277076,,0.009798652378947479,0.05085520791684009,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.030153304568782287,,0.4053599581366738,0.028828199708341388,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.1798432282514578,,0.07295087957854028,0.051432543783259004,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.2732690300044481,,0.23884617825516696,0.16464963722023737,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.2746497608772083,,0.15750553894070682,0.12417900741070906,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.23283755427130082,,0.16931100035000815,0.1103441834930781,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.37718666761646724,,0.005110323221160058,0.027067617906279626,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.36715651091913454,,0.06909485022957364,0.10186714013739631,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.09123570424984202,,0.1870025697083056,0.046204368566294694,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.17836943910147815,,0.000293476450998255,0.003056347166655589,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.04828221027478263,,0.231454025206058,0.028421228026524307,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.1254252258354021,,0.2710343429925121,0.08328526482282504,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.15983334874130492,,0.23482201596293784,0.09509410429552376,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3877174093947229,,0.0037807812249567594,0.023907836586961304,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.23527309051296086,,0.17091297042026374,0.11219198567885641,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.0748559620798835,,0.46429281958549773,0.08343228196175448,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3662304915898349,,0.01626950667216962,0.04729245891019034,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3414504664454378,,0.006071553555506519,0.026727743316437666,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.11014920710138465,,0.23059787914769037,0.06466271336241147,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.0861145213520703,,0.3507542003478318,0.07133396743056217,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.23926794975964202,,0.205828554003525,0.12946132394496712,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.2413423932027522,,0.1419891737167835,0.10215922401439988,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.36646079836793377,,0.0282585600818658,0.06294508122181125,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.03989562605579886,,0.4945125386570779,0.048153418586475885,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.29841453049542965,,0.12089789043700234,0.11440636775105419,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.5064860000892283,,0.005210054942917713,0.03670209013639507,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.47081265647188086,,0.03681219719752471,0.0929178068267096,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.06720019631605183,,0.5035525442747708,0.08308744189793937,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.24352673105402242,,0.12575035363493817,0.09562347063632659,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.03670725564607739,,0.7160858338990435,0.08765978327758642,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.2896379977206513,,0.12544075356664272,0.11355864860074125,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.4135010193056201,,0.03219486124049554,0.0760427802239031,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3320260924692642,,0.11753495610186282,0.12514303697756501,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3174042548523717,,0.12440356217355195,0.12381688336004656,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.03136350773743488,,0.2634076641989415,0.020363178997715135,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.42335383903790774,,0.008629013982067252,0.039583024398916596,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.39469158998755693,,0.005557242688728146,0.029546330764831683,,
RSC_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.23848597987402007,,0.11234212701151602,0.08748532481703074,,
V3d_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3549880769860614,,0.00543485978415228,0.026277486401121427,,
VWFA-1_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.10705526667038744,,0.17243653606760573,0.05135025559937866,,
RSC_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3133666287008882,,0.015124532053439556,0.038981992451891385,,
V3v_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.37782958360909386,,0.05880052235551469,0.09590140267891756,,
OPA_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3532225070711301,,0.0024580319384076036,0.017544617800020017,,
OPA_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.26955017289737604,,0.05259885895992983,0.06438824457352928,,
hV4_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.2431292757548169,,0.0427607177130649,0.05195725529249743,,
V2d_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3502481108772921,,0.009476149049115612,0.03433962124153418,,
V3d_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.28976863002013303,,0.0199856941430289,0.04159084430328682,,
OFA_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.1400391631489553,,0.15614993319106574,0.06296553864805127,,
EBA_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.12248160426625698,,0.18946497900326817,0.06258237231174853,,
V1v_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.6138514189910593,,0.0002248966665140237,0.00920720973766714,,
V1v_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.5548146855682171,,0.004623317619280072,0.03785600662563394,,
mfs-words_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.25367414769775504,,0.0783906820323687,0.07554037292424062,,
OWFA_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.3370032417477064,,0.008916081761407074,0.032036160074848545,,
hV4_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.28429170674527093,,0.0206755270249324,0.04152497474609211,,
EBA_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.09561216614113473,,0.2658902289701335,0.0625355014590484,,
V2v_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.5370378771993769,,0.00656723321256666,0.043736442525897604,,
FFA-1_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.18323524075440958,,0.08605152757013819,0.05753295845553746,,
VWFA-2_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.2237256042011453,,0.05247758065136084,0.05337517752446975,,
FFA-2_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_23b392a1,0.12440908480096946,,0.06886501150415066,0.034453240821619026,,
