ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.46100469748960604,,0.025130834757324416,0.07449320171527724,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.1953980479879873,,0.07609997377992278,0.05722209412781637,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.3041012027683276,,0.06477118141514784,0.08140335973492493,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.5433553814431373,,0.002539958652869874,0.02743631887341947,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.3487505688949965,,0.0040168866259553794,0.022170279598253614,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.42229160316598563,,0.008366436831184583,0.03887059754531549,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.013582052735404837,,0.8591395777264021,0.06750089771380285,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.35299378727917596,,0.0025416594993198914,0.017830143863852017,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.5779542914603352,,0.002873182431930104,0.031046490971334023,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.17249989857487077,,0.16217182196159266,0.07948021524892133,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.5299185378765044,,0.00453463880613849,0.03580646182553701,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.39753127591829523,,0.048099279281328775,0.09048212588790816,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.06023003611352659,,0.11918389976349504,0.022892585457365583,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.11827390592969374,,0.32801775419865287,0.09216810298024378,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.31034859496795425,,0.0062382549558725915,0.024627521151725715,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.16657994788633146,,0.00011084130035737143,0.0017539194072442984,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.03382267873925732,,0.09842980872458999,0.011476592451235945,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.5526877023568986,,2.371127694626152e-05,0.0026913178775166704,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.3850640437447355,,0.017767883496409176,0.05202342515637842,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.06321577664831547,,0.027144465282268684,0.010632867788888844,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.22843648729683172,,0.09677942429606158,0.0767525357041204,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.36262480618624854,,0.04485503401867535,0.07950021405192323,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.5075621676819672,,0.035828434302399445,0.09874691827130362,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.10758661555608844,,0.06492639825714325,0.028837449783917057,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.06101996360068571,,0.5667776243542235,0.08976544848180065,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.17254268204935833,,0.025289437761309947,0.027972236155503937,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.09049346687100991,,0.06562101618062155,0.024398966202800434,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.10567823592137837,,0.4445615864288891,0.111873447685199,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.2919539991039823,,0.03152121960420451,0.05309775950212561,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.11716714879406533,,0.4007374312390135,0.11067857364212319,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.4670101577263687,,0.020791283350941735,0.06841045898857215,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.5780519138260836,,0.0011749022517407383,0.019831276242506492,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.14680254252039823,,0.10619299664427423,0.05208235621207665,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.5069792876270682,,0.0062514452146117975,0.04027393979276957,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.026300255575057965,,0.38128547033001214,0.02361374757667549,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.17606469845749428,,0.07474173129434449,0.05104114283623997,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.2637025564258931,,0.24506079845442755,0.16197773600804755,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.27369665801639725,,0.151117175197102,0.12050868776119099,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.23260281873283503,,0.16673908805218882,0.10913142248277687,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.3714962783699827,,0.006049003030316542,0.02902509416629625,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.37159538483133586,,0.0606598788413892,0.09594231683482353,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.09127131780704756,,0.16430392161091137,0.042412640737427496,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.18001230994018314,,0.0010140068637129046,0.005736581009834957,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.038188328813009834,,0.26686646813180487,0.0250492996672257,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.10942994281250935,,0.3356474204134636,0.08705362743141756,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.1493276886983668,,0.25317536121188056,0.0940247270618986,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.3863941427735437,,0.0042196544245668936,0.025179482489012903,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.24296159101990156,,0.1428539782039851,0.1032373877613768,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.06901307946199532,,0.4881927548594518,0.08191319305423657,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.37049255685465193,,0.01526383626279848,0.046304995157150475,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.34107771954926397,,0.006442955215333812,0.027510750340986947,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.11498085418099428,,0.20572524877112558,0.06219107253105082,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.07674096331218695,,0.37632612497988327,0.06801211524921565,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.24108623656302894,,0.191494977770672,0.124083276137959,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.22590527066597865,,0.1570854666231843,0.10196436633580173,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.36352901999137854,,0.03404645023597588,0.06884785122310526,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.045117034764477724,,0.3928554774890798,0.04175200560979371,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.27872116301526745,,0.12938363239932404,0.111367931892733,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.5114628550725119,,0.005228896257780773,0.03713021691332574,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.46891266569185214,,0.03507830902541368,0.09021460351200708,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.0568049615524554,,0.5476813683734532,0.07919937109941162,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.23872837222614895,,0.10765664094253001,0.08538418271689,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.03166824884610261,,0.7260593106370554,0.07861640146242468,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.2705626824350507,,0.11632037846571117,0.10134200241826768,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.4053126772607624,,0.03725364042760918,0.08049701094771361,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.3149203755312567,,0.12933124154882894,0.12580067504398945,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.30751764585953395,,0.1325228937301026,0.12470105274372194,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.024038567083284446,,0.2810611336221,0.016433581703044178,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.412981904258978,,0.0121372068126497,0.045916838155015995,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.3958339931005033,,0.006873700671482059,0.03298802573776921,,
RSC_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.24162652879127552,,0.12994963982569657,0.09680536282903918,,
V3d_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.3421384541433345,,0.011609642131171542,0.037189353749613054,,
VWFA-1_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.10223766447380984,,0.18390114815126365,0.05119353477521281,,
RSC_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.33341907281664024,,0.016116567220049643,0.04284756450039648,,
V3v_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.3699691033175787,,0.06771555093354359,0.10150367269984473,,
OPA_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.34103296896129925,,0.006294570949055821,0.027185496417909846,,
OPA_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.2541366241528485,,0.040157149395359616,0.05252235455028135,,
hV4_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.2294963641477855,,0.049918642393992865,0.0532914777563237,,
V2d_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.35221118925044825,,0.012599066810934367,0.03991228129516748,,
V3d_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.2847055088029715,,0.028931327237707995,0.04950692880251715,,
OFA_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.12709940922960114,,0.15972317319401674,0.05798714021285218,,
EBA_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.09996691617896714,,0.240312995829746,0.06050802006127911,,
V1v_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_2832008c,0.6086065310540115,,6.13561803514386e-05,0.004767445663405585,,
