ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.4598245221693275,,0.027360434922647964,0.0776623569402625,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.19211525588140252,,0.0871592057083186,0.060764210570835066,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.307021765690727,,0.07259740723623478,0.08756542020870009,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.5428497627561475,,0.00214127413732221,0.025160201696543306,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.35486449949838983,,0.00462685631617402,0.024222374032521164,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.4284933038083108,,0.009533548845308718,0.04213994853420839,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.02113524754108353,,0.7461882440685119,0.056953573321994445,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.3594150067910982,,0.0022444796355153536,0.017056348994062404,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.5769128199871449,,0.0031826549031085064,0.03262447646294452,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.16342426624889278,,0.15736913348705692,0.07384874680005048,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.5354832814243907,,0.005669435008812576,0.04049194067941676,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.3981306161609626,,0.04328032679436487,0.08563187334494854,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.055385238945212106,,0.14966677774062695,0.02423692764120793,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.10290703665017098,,0.35526055770583587,0.08627160653836237,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.312111092180899,,0.005544494722245376,0.023337375411341205,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.16635845994858703,,9.31055842563114e-05,0.001605325425525461,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.02992960226406932,,0.019090092366909943,0.00419559156381822,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_9176aba7,0.5564524709639526,,0.00014672391172719125,0.00674103091535958,,
