ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.40367998068834304,,3.961713676959672e-05,0.0025409239056919755,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.2590955319163553,,0.0009645148824168707,0.008052462847746814,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.22196006705172813,,0.00017458122083005413,0.0029331243880583243,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.39997198182028576,,0.0008081650461719763,0.011377398289837748,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.30892293777491947,,0.007209454299858574,0.02637300088268911,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.4318941686037112,,0.00016899969305044006,0.005615330859964821,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.18802977808224072,,0.01818956499871346,0.025711428365362086,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.32064819577193177,,0.001826656377314856,0.01372311946900241,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.5167707706152554,,8.442949521469811e-05,0.004748676006315642,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.27782677270487793,,0.0022361026167980074,0.01315979899539903,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.48160457361672826,,0.00012264029393187383,0.005333927929367516,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.41504151755894697,,0.0013691032028829194,0.015372904794095109,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.13750294632072227,,0.015150377568145943,0.01711995489224416,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_20803df3,0.2967300847449667,,0.001644019025052362,0.012046225967354947,,
