ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.40334457678230184,,4.557454222732127e-05,0.0027230287361395115,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.26909569884866164,,0.0003007664484817157,0.004667877315383107,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.2337476309548381,,0.00041509852332370016,0.00476384970205649,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.40831998793459734,,0.0012351136729500715,0.014363381541487011,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.3078284073574633,,0.004685245420398675,0.021144875620382045,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.4354145733710419,,5.975387853639263e-05,0.003365933059033687,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.2039568732108501,,0.02231914928003178,0.030991540278514508,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.3234366622989959,,0.0019930885392271305,0.014461138613025113,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.5148059562937976,,0.00012388812639634692,0.005730582397080506,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.29291452077240326,,0.001027326042564096,0.00939571581760351,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.4843578560605402,,9.638473231582237e-05,0.004755562209653852,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.4163247213827947,,0.0009209287272768589,0.012642860245712909,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.14663112297365352,,0.00937349658540935,0.014297066050428554,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.3198840154890857,,0.0017654150485603517,0.013458342505948902,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.30183003533415703,,0.002179538974822989,0.014114178306606606,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.17346813291034913,,9.803035170425522e-05,0.0017176390963332868,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.2802334688158441,,0.010605752295234987,0.029091545405413196,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.4357877669966858,,0.00046910749195375916,0.00944200137639455,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.24550168221854218,,0.003732320451964281,0.015040500316506531,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.24195481594360832,,0.00957411568169903,0.023846224694720534,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.33711540901892284,,0.0007108146962099467,0.008992665231212511,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.44550405127204695,,0.00035646317949526794,0.00841346955669799,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.41005385179923026,,0.0008007931382044054,0.01161079679200059,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.2543568591803449,,0.0026806928065886324,0.01319597559553921,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.3420630771005519,,0.0007267772305039544,0.009226642242766049,,
VWFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.15128978283032715,,0.0017144884421878442,0.006272430879451553,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.24533197154108466,,0.0025379264841327008,0.012382876726520496,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.20695156585820695,,0.0004909941085641004,0.00458740232255793,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.12846240359633113,,0.004955576966155571,0.009076992443311957,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.3640325384825798,,0.0019375677615372556,0.016047244679792915,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.4360184244242045,,0.0019765094066723056,0.019413275495340814,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.4054687528707223,,0.0007639935148698943,0.011213758191078645,,
FBA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.3060489344370075,,0.00245915773957609,0.015204992674944016,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.5046201381761661,,0.00017026430257211856,0.006585395221830701,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.22712570386629885,,0.0002107439907648737,0.003297710585156278,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.4918249743128043,,0.00010411718815219508,0.005018867248579713,,
FBA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.20706483413998408,,0.003518482540972096,0.012314944255333837,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.20079724356246162,,0.002884492418374129,0.010807707219684423,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.27320717345145057,,0.00036418399558082483,0.005215202472350459,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=540_bca1a726,0.39435188788763614,,0.0035313846450770597,0.023496818247716614,,
