ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.41053935837768646,,3.469084891490281e-05,0.0024180961342709978,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.2716931434981765,,0.00036888633137411957,0.005219695159537412,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.24272855652211156,,0.0003082323991909378,0.004262461137026335,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.40621348158636156,,0.0011816802292867591,0.013976212042579735,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.31467705164168086,,0.0031089177359420414,0.017586692396854803,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.43454084229488776,,0.00024521038240432456,0.006805811412314344,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.20289729445697605,,0.022727275634416705,0.031120922180685802,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.33050957093705574,,0.001307967581076295,0.0119648948956427,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.5194060515363708,,8.997003278913358e-05,0.004927030506272783,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.29053742830235857,,0.0012414322207432232,0.01024632785561403,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.4812440907940368,,1.2482377538457408e-05,0.001700270941760914,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.4220860114218241,,0.0013173244576784183,0.01533475164889798,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.1530471348507201,,0.004860286715677657,0.010708872535680794,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.3094697424486959,,0.00186075037381354,0.013368078738346263,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.3070094646726785,,0.001485104131609618,0.011844435476650808,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.18135123990132732,,0.00022465265637233785,0.002718626162335531,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.28844707347783166,,0.0094472235016221,0.02823660398535133,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.4374809258057916,,0.0003579271939045671,0.008278908429611391,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.24838461471033899,,0.0019928569292652796,0.01110484811192746,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.2484127659459575,,0.009055544100518228,0.023801068126736387,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.3312307936408128,,0.0007236195797889972,0.0089150063631367,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.44982989039371074,,0.0005252462664758521,0.010313377946221357,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.41702033191698556,,0.0005988822688690866,0.010209937740256874,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_3e76b2d7,0.2582622226832165,,0.0028673168985983897,0.01385907489603178,,
