ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.40905229427359563,,3.2854509186085624e-05,0.002344698611659587,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.2739228764883027,,0.0010983995117724704,0.009085868986670005,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.24089746712912005,,0.00016619177860125627,0.0031059262480500256,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.40838000665238194,,0.0009251745829210911,0.012430191795636904,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.3119183683465401,,0.0049037468541930935,0.021923344549683164,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.432484435719435,,0.000201390256250091,0.006138401829467767,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.2037019716264745,,0.024427351125895433,0.032434358206674944,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.32895229365000667,,0.0016700587684416294,0.0134599454393315,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.5202216605738896,,8.242513716994891e-05,0.004723295525368996,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.2913429380986575,,0.0020450879220757718,0.013195547403778166,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.4808514832405235,,1.6984814086392152e-05,0.0019817409844360007,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.4193757000061947,,0.0011474432622213654,0.01421814271184399,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.15379667663211358,,0.00577170845257782,0.011735064074825696,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.3083093261331298,,0.002583672922345906,0.015701757136772954,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.304821930720729,,0.0026235335040091755,0.015643912088525648,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.17693672052708428,,0.0006915756768689202,0.004655466225390931,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.28557441621784774,,0.011143560439342691,0.030400782211116056,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.43816190134648164,,0.00031396353283544233,0.007765626512503486,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.2462485249065568,,0.003690073544925049,0.015000152577245794,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.24755442337717382,,0.010622308942405862,0.025719449308984094,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.33197222585713143,,0.0012991487001597828,0.011977182381004951,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.44674735198026694,,0.00042579301676352904,0.009221466191586012,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.41526131765090496,,0.0006089110260410157,0.010251721564702719,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.256298698275563,,0.0039022474255546746,0.01605749319338162,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.3336892336629778,,0.0010690548239438563,0.010919194804300902,,
VWFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.16076990332174954,,0.004358798012973351,0.010649065427917277,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.25062527579992194,,0.002221366227888724,0.011832034701191456,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.21119860885405958,,0.002137985019489917,0.009781166196925409,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.1329594620441774,,0.005326178577380122,0.009742431684845258,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.3709685844528173,,0.002069106263636154,0.01690064565563893,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.42392757139943665,,0.0016610500282997177,0.017299142777032886,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.40534901194171175,,0.001014341113652647,0.01291967892440558,,
FBA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.30781905322413,,0.002331077680518977,0.014887925467514954,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.5039562586896841,,0.00015633562238565423,0.006301917929480633,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.22726114222191862,,0.000689012894652643,0.005968474958635335,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.4927868141933431,,0.0003516135836372954,0.009242861646236075,,
FBA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.21105617799860676,,0.00445010860084205,0.014126567274600627,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.19901917449750636,,0.0027905340152409265,0.010535350738888876,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.26958186634320674,,0.00035676668237807273,0.005093297582219787,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.38417224012579876,,0.00416027877276801,0.02485682097394322,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.33766680880606664,,0.0020465530023526155,0.015299148981165543,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.2438924635731906,,0.004120222233884417,0.01570377190749484,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.38669782248123186,,0.0002465190039836745,0.00607263581557702,,
VWFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.2098752806390151,,0.006647893074338198,0.017197966447405365,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.36756182885462013,,0.0021768198503175603,0.01717716888694442,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.1802586257960068,,0.003640863258558517,0.010906531810308706,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.260557819905805,,0.0031212443031582845,0.014591048557020751,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.15436176393079318,,0.004492956775698362,0.010381811772067921,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.19302603443233254,,0.004257047298393847,0.012634561950908056,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.24977681205000565,,0.009879321536498337,0.02501222092858973,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.41225590544645585,,0.0005668586317077216,0.00981949077195958,,
mfs-words_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.15798135226580728,,0.01150633040155735,0.017094148141322874,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.30844763836167244,,0.0020634217464259837,0.014032930060810262,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.2288161814102754,,0.0010319943192202419,0.007356338949861258,,
FBA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.25305909906228996,,0.0014698384151760693,0.009712609372460162,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.33365175363393806,,0.0011743067423915488,0.01144371273561981,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.29968871076435427,,0.0006087369279115861,0.007397475854794949,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_93cbf2f7,0.21883821623001698,,0.0029111852901449187,0.011833356202088146,,
