ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.4008404309106009,,3.5432963771687486e-05,0.002386089897222777,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.26664379073024363,,0.00028668108301985656,0.004515692771275844,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.23263955560739372,,0.0017587433908614581,0.009769183036294461,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.4008688045465556,,0.0013025566863439537,0.014481887512139873,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.3046026083207984,,0.0037742727634820514,0.018766458931723306,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.4283736536803249,,0.00042318286648324743,0.008815047645882222,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.19798952298991757,,0.02549391412535591,0.03223221515973887,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.3228792009904375,,0.001651153059983479,0.013136270122692218,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.5150974346096844,,0.0001512802765007167,0.006336213773640563,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.286758638377848,,0.0011899548065038513,0.00990078445271498,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.47890814156984884,,5.183684900760851e-05,0.003448167881616123,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.4139786877510516,,0.0008750712135642651,0.012254196972083138,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.14915591452774257,,0.006780672687478478,0.012345089836616191,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.3086031917204168,,0.001987602574454158,0.013778861793397315,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.3014225071040551,,0.0016969328895440898,0.012432580662161295,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.17359855231798768,,0.0005110310052130472,0.0039258728298359425,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.27699525549422976,,0.010711324156377383,0.0289004617153312,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.43577490052706347,,0.0004199591160963882,0.008933107121679789,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.23904581347477438,,0.005030148843509717,0.01701824648364219,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.23854410053325084,,0.009926848022336237,0.023945648634990296,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.33143208844106714,,0.0006576466728884614,0.008503645725805635,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.44164883360569157,,0.0003802176268365112,0.008614242302832975,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.40567868440790056,,0.0004330539743264285,0.008444895772377779,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.24862919856695176,,0.0021695209902425857,0.011599562577230707,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.3315943771286621,,0.0009989120766798684,0.010488088556056388,,
VWFA-2_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.15176170093408164,,0.007484145421994264,0.013203277048559716,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.24703299486508393,,0.00336847419281845,0.01437377754129378,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.2081508636335546,,0.001405399415275802,0.007811532517630764,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.13353198951329123,,0.0058685974721143855,0.010274733749708363,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.36566075685829214,,0.002505643170812901,0.018338140705378828,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.4222090973948643,,0.0012614208616396649,0.015009587783830266,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.39617398608644594,,0.001506763156499268,0.01539570806212865,,
FBA-1_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.3085319205684507,,0.0023233835668035815,0.014897670383050773,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.5010368960605671,,0.00025479651411268125,0.007999253392445189,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.22318215297117752,,0.00035106481997754485,0.004182803771575724,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.48888681207213297,,0.00020488828939234214,0.006998961987353579,,
FBA-1_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.20434441395991776,,0.002796135513232004,0.010828146577165612,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.19141884328893413,,0.0029606355234432055,0.01043862197136774,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.26646926851311786,,0.00046682506349649976,0.005759387616984382,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.3839657145720335,,0.005468903774038468,0.028512127787342457,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.33580072133861033,,0.001304568847352643,0.01214060628743365,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.2418535100497552,,0.002428807840542989,0.011941014041016962,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.3853778945497415,,0.00035966549075337447,0.007310605685802652,,
VWFA-2_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.2022111720773558,,0.005224142650279707,0.014673018912594982,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.36436955803468685,,0.00150700215635427,0.014160882417966406,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.17408004784147715,,0.002286275425895466,0.008337943615563967,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_920653df,0.25770580686960315,,0.002651445489566372,0.013296291430530975,,
