ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.40565700297077806,,0.00011007189560761307,0.004256308081004999,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.26575207326055866,,0.0002321916327628428,0.004050191743494711,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.23784191930618573,,0.00030713193434447157,0.0041691828778619155,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.40333596086037105,,0.0008329712254532471,0.01164805445800441,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.3057031791513446,,0.0035022354669459257,0.018139099103878165,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.42998406428959113,,0.0004234944951464479,0.008851445919010301,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.20194278757416395,,0.019233467148525023,0.028417976188088508,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.325017132627427,,0.0014486471984712286,0.012383968074647249,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.5163319202779287,,0.0001264703414312045,0.005807169695855822,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.28802567973119636,,0.0012403929080489567,0.010153485709479737,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.47995409056004407,,5.859706856491819e-05,0.0036741487030555785,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.41751550915421015,,0.0011693276497970228,0.014289658715355492,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.1526123016187533,,0.008575984200446626,0.014224564070359526,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.30336305803660335,,0.002010004124026798,0.013621239741382943,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.300430495869385,,0.001614729976248321,0.01208705270051944,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.17777409123128332,,0.00017613078903941528,0.0023596276846204745,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.2826781678491137,,0.009309330426728182,0.027466309554781743,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.4360487783184881,,0.0003058894220011362,0.007628110153517693,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.24070222756038814,,0.0026738539263185053,0.012471573180981785,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.2455252457127568,,0.00852424434128186,0.022814686967857916,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.3267490769285612,,0.0005710363905665816,0.007811461966758629,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.4460341436839092,,0.00043661646417547645,0.009323101459079547,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.4108956243862396,,0.0006953052596298425,0.01084041331926638,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.2542206531035717,,0.0021273785117038755,0.011744296498446796,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.32649717181013166,,0.0013474930372731624,0.011997256399765925,,
VWFA-2_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.1617190572391566,,0.002376531415183798,0.007897836549217928,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.24743817042149463,,0.002092848270570663,0.01133752050113263,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.20885173871749343,,0.0010952098234062087,0.006917413246235017,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.14100317190693054,,0.004550963693438886,0.009544800591823097,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.36648331004174906,,0.0023703983912461857,0.01787466992205836,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.4135899047767326,,0.00149892349250414,0.01603054622573254,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.39689655480468516,,0.0013743200345929004,0.014728864669311762,,
FBA-1_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.3087419313219619,,0.0025620548388573684,0.01565761432361748,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.5014372830698209,,0.00013143077749953885,0.005749207364419973,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.22711080220090807,,0.00019840312204390937,0.003199459917612987,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.491115813809811,,0.00015506274883017495,0.006116291415588492,,
FBA-1_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.21281580822071824,,0.0026055982367620893,0.010884477868686558,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.1966676413446263,,0.0029875316313779606,0.010773677376635595,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.26622463504086347,,0.0003919329721321101,0.0052720780454702035,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.38014305923195035,,0.005030907514093964,0.027065355138007747,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.3375231934927975,,0.001399706210084774,0.012640910380592027,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.24216186640507686,,0.0025686046850886958,0.012296805233561772,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.387111016143588,,0.00014589180917210748,0.004676258486418591,,
VWFA-2_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.20685820837196034,,0.004885973280507215,0.014512569679346464,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.36547819018860167,,0.001550837934251258,0.014409545117904717,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.17494401097613443,,0.0030257681008344357,0.009645043674881087,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.25714260284202467,,0.0019497280781409164,0.011370952595850912,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.14938413198026687,,0.005616467888799048,0.011242723413041647,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.196347075152398,,0.0031335748589249204,0.011017092959985347,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.2411457152442986,,0.01166870225105276,0.026279533809635325,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.4100911510929603,,0.0005328649810013899,0.009470275373809886,,
mfs-words_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.15469006276365052,,0.013331114144820543,0.018041471360738533,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.3078181571178723,,0.002156674096424674,0.014318247120025893,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.22605011496456137,,0.0004771525658239191,0.004939566377565213,,
FBA-2_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.2492474176029692,,0.001967430757474198,0.0110718951756775,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.3316828856861837,,0.001150254372686493,0.011258873071617536,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.29940372838467727,,0.0004081836550467456,0.00605087240280458,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.21641748078619558,,0.0018623162674615355,0.009352469721817532,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.2070179656304274,,0.0006555258722733961,0.005302938068291313,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.40535849893384196,,0.0016831878447725658,0.016651538449203248,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.2860749763111241,,0.010204956805729281,0.029122547077326925,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.38274269154242613,,0.0022755721333157473,0.01828918684660585,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.22353562597608298,,0.0009785334153605604,0.006997670513583084,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.3571637914079495,,0.001167945982640675,0.012216856899320205,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.5031430862015194,,0.00043875826803799585,0.010542585101011831,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.5210860619774015,,0.00015745031976752326,0.006539318944261025,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.23933827123490592,,0.0012928325968478425,0.008613997016279065,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.36600324427013403,,0.001095037047183146,0.012121496646134666,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.27988810820765747,,0.003678995197557575,0.01702354335527666,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.4903633176818276,,0.0021719522803943956,0.02289029882095666,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.476265648434331,,7.155316294843229e-06,0.0012739899646944013,,
FFA-2_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.20234115353476742,,0.001351887071270752,0.007447235959311306,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.45005167209097374,,0.0017422709739275477,0.018809978612976827,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.37414435341154145,,0.0008051714480088577,0.010622965295284564,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.17935942437461017,,0.00111356860993431,0.005990259545832364,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.34520733120560015,,0.003964050115815557,0.021799360150478453,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.2659249303801077,,0.00026194128816864364,0.004304734455590863,,
RSC_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.2386649223940364,,0.002637908541282479,0.01228228037639021,,
V3d_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.23537197072324287,,0.002472725111767957,0.01172598259577301,,
VWFA-1_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.12238187249575476,,0.007804457311501211,0.010875322914270558,,
RSC_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.25519668650660404,,0.005190746703351114,0.018458050189991523,,
V3v_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.30547445468629886,,0.0007157290908362952,0.008176782733944465,,
OPA_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.23674004946336472,,0.00393826772499092,0.01490081707916184,,
FBA-1_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_eeee0547,0.1556082803740233,,0.008000854779278692,0.014002938303540031,,
