ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.407102991078472,,5.4202372868722064e-05,0.00299730610580102,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.26649731314771913,,0.0006843026027613657,0.006974930930637823,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.232618953540737,,0.0020277970662545388,0.010491041889186604,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.4085396792005545,,0.0008836129559048019,0.012152153332114772,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.3087934274137778,,0.003822539029729652,0.019146609364018616,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.4348336046882891,,0.00024105654829149778,0.006752445610273722,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.19749579380556673,,0.022131928857447757,0.029879331688605123,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.32632218068533453,,0.0013763705200938961,0.01211889292870138,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.515809567101123,,9.906295990827531e-05,0.0051342535476935,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.29010972173298494,,0.001399532503395697,0.010864506561423086,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.48404355044004044,,4.305856890103665e-05,0.003176349326745499,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.4155307368841456,,0.0010744687375184433,0.013631706990750274,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.15114699747847374,,0.007415977054673306,0.013089099128240274,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.30651793860215454,,0.0023807824633364397,0.014982776561961533,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.30401019463731704,,0.0016120477219425764,0.012220885255555777,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.17454836111092087,,0.00029603699359101714,0.003003898195940168,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.27648519670189814,,0.008569873334893188,0.02576110644333599,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.4387302558570696,,0.00035181010531723636,0.008231260679001288,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.2405989383702399,,0.004872738625234102,0.016856676204312956,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.23918412816095244,,0.008483957703356155,0.02217219890906497,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.3290842031969548,,0.0008867592155040679,0.009806157772507772,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.4432363861703121,,0.0004384098752315522,0.00928364243780345,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.41320732857584996,,0.0007144069688437337,0.011050289371104437,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_ecd0ff71,0.2521557528851451,,0.002028301556503534,0.011373564264271014,,
